                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.8521,                 2.0793,                 1.6808,                 0.3192,                0.22796,                 0.1666,                 0.0519,                 2.9604,                 2.1252,                 1.8007,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.8847,                 2.1343,                 1.6427,                0.34414,                0.23337,                0.17966,                 0.0635,                 2.8662,                  2.093,                 1.7545,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.8502,                 2.0194,                 1.6486,                0.31852,                0.25077,                0.19922,                 0.0724,                 2.7304,                  2.124,                  1.649,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.8569,                 1.9364,                 1.5986,                0.29684,                 0.2436,                 0.1811,                0.06424,                 2.7658,                 2.1419,                 1.6596,               0.001307,               0.001307,               0.001307
                     38,                 2.8004,                 1.9401,                 1.5961,                0.31158,                0.26459,                0.19295,                0.06307,                 2.8513,                 2.1236,                 1.6922,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.7713,                 1.9704,                 1.6031,                0.31466,                0.26817,                0.19842,                0.06693,                 2.8074,                 2.1233,                 1.6549,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.8165,                 1.9639,                 1.5979,                0.29959,                 0.2675,                0.19139,                 0.0711,                 2.6902,                 2.0727,                 1.5943,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.7435,                 1.9516,                 1.5742,                 0.3035,                0.26254,                0.17341,                0.06395,                 2.6924,                 2.0881,                  1.593,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.7617,                 1.9688,                 1.5546,                0.36392,                 0.2884,                0.23093,                0.08398,                 2.6505,                 1.9376,                 1.5807,               0.001208,               0.001208,               0.001208
                     43,                 2.7675,                 1.9167,                 1.5784,                0.35447,                0.28664,                0.23241,                0.08475,                 2.6391,                 1.9324,                 1.5526,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.7734,                  1.893,                 1.5214,                0.36599,                0.28915,                0.22652,                0.08111,                 2.6094,                 1.9299,                 1.5512,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.7221,                 1.9981,                 1.5818,                0.37554,                0.28608,                0.22503,                0.08199,                 2.6123,                 1.9186,                 1.5728,              0.0011486,              0.0011486,              0.0011486
